"LHS","RHS","support","confidence","lift","count"
"xb=男,wy=优,sw=优 "," wlfk=理科",0.0916129032258065,0.816091954022989,1.66002956526986,71
"xb=男,hx=优,sw=优 "," wlfk=理科",0.165161290322581,0.815286624203822,1.65839142718625,128
"ls=优,hx=良 "," wlfk=文科",0.0683870967741936,0.841269841269841,1.65478204818306,53
"zz=优,ls=优,dl=优,sw=良 "," wlfk=文科",0.116129032258065,0.841121495327103,1.65449025096067,90
"yw=良,dl=优,wl=优,hx=优 "," wlfk=理科",0.100645161290323,0.8125,1.65272309711286,78
"xb=男,dl=优,sw=优 "," wlfk=理科",0.161290322580645,0.811688311688312,1.65107202508777,125
"zz=优,sw=中 "," wlfk=文科",0.0851612903225806,0.835443037974684,1.64332069652381,66
"xb=女,hx=良 "," wlfk=文科",0.0980645161290323,0.835164835164835,1.64277347018464,76
"yw=良,zz=良,hx=优 "," wlfk=理科",0.0645161290322581,0.806451612903226,1.64041994750656,50
"yw=良,wy=优,wl=优,hx=优 "," wlfk=理科",0.0645161290322581,0.806451612903226,1.64041994750656,50
"yw=良,wl=优,hx=优 "," wlfk=理科",0.105806451612903,0.803921568627451,1.63527353198497,82
"xb=男,yw=良,zz=良 "," wlfk=理科",0.0735483870967742,0.802816901408451,1.63302650548963,57
"xb=男,ls=良,hx=优 "," wlfk=理科",0.0941935483870968,0.802197802197802,1.63176718294829,73
"yw=良,sx=优,hx=优,sw=优 "," wlfk=理科",0.109677419354839,0.80188679245283,1.63113455157728,85
"xb=男,sx=优,hx=优 "," wlfk=理科",0.171612903225806,0.801204819277108,1.62974733579989,133
"yw=良,wy=优,wl=优 "," wlfk=理科",0.0670967741935484,0.8,1.62729658792651,52
"xb=男,sx=优,wy=优,dl=优 "," wlfk=理科",0.0980645161290323,0.8,1.62729658792651,76
"sx=中,zz=优 "," wlfk=文科",0.0851612903225806,0.825,1.62277918781726,66
"zz=优,wl=及格 "," wlfk=文科",0.072258064516129,0.823529411764706,1.61988653329352,56
"xb=女,yw=优,sw=良 "," wlfk=文科",0.0696774193548387,0.818181818181818,1.60936778957084,54
"zz=优,ls=优,sw=良 "," wlfk=文科",0.12258064516129,0.811965811965812,1.59714087379062,95
"xb=女,yw=良,wy=良,dl=优 "," wlfk=文科",0.0735483870967742,0.802816901408451,1.57914492028312,57
"yw=优,zz=优,dl=优,sw=良 "," wlfk=文科",0.0838709677419355,0.802469135802469,1.57846086357085,65
